timestamp,src_ip,pkt_len
2025-04-19 16:01:30.928492,127.0.0.1,74
2025-04-19 16:01:30.928537,127.0.0.1,66
2025-04-19 16:01:30.928608,127.0.0.1,143
2025-04-19 16:01:30.929864,127.0.0.1,66
2025-04-19 16:01:30.929893,127.0.0.1,66
2025-04-19 16:01:30.929975,127.0.0.1,66
2025-04-19 16:01:36.374897,127.0.0.1,74
2025-04-19 16:01:36.374919,127.0.0.1,66
2025-04-19 16:01:36.374971,127.0.0.1,143
2025-04-19 16:01:36.376454,127.0.0.1,66
2025-04-19 16:01:36.376485,127.0.0.1,66
2025-04-19 16:01:36.376574,127.0.0.1,66
2025-04-19 16:01:38.156733,127.0.0.1,74
2025-04-19 16:01:38.156752,127.0.0.1,66
2025-04-19 16:01:38.156799,127.0.0.1,143
2025-04-19 16:01:38.157435,127.0.0.1,66
2025-04-19 16:01:38.157460,127.0.0.1,66
2025-04-19 16:01:38.157518,127.0.0.1,66
